sentence,value,temperature,domain
"The administration of cisplatin in patients with testicular cancer frequently induces acute kidney dysfunction, which may precipitate anemia and exacerbate pre‑existing megaloblastosis.",-18.25,0.4,Disease
"The prevalence of vanishing bile duct syndrome in patients with autoimmune liver disease is markedly higher in those receiving long‑term azathioprine therapy, which may precipitate acute kidney dysfunction as a secondary adverse effect.",-29.0,0.4,Disease
"The patients with testicular pain and vanishing bile duct syndrome were found to have concurrent acute cardiac syndrome, which was exacerbated by the nephrotoxic effects of cisplatin, leading to severe kidney dysfunction.",-28.0,0.4,Disease
"Patients receiving the antineoplastic agent cisplatin for testicular cancer frequently develop nephrotoxicity, a form of kidney dysfunction that can precipitate acute cardiac syndrome in susceptible individuals.",-21.0,0.4,Disease
Patients with testicular pain and vanishing bile duct syndrome were found to develop acute kidney dysfunction after prolonged exposure to the chemotherapeutic agent cisplatin.,-15.5,0.4,Disease
"Patients treated with cisplatin for testicular cancer frequently develop acute kidney dysfunction, a complication that can precipitate megaloblastic anemia and, in severe cases, vanishing bile duct syndrome.",-20.625,0.4,Disease
"Ceftriaxone administration in patients with acute cardiac syndrome was associated with transient anemia and mild kidney dysfunction, prompting clinicians to monitor renal function and hemoglobin levels closely.",-25.875,0.4,Disease
"Cisplatin administration in patients with acute cardiac syndrome frequently precipitates kidney dysfunction, prompting clinicians to monitor serum creatinine and consider diuretic support to mitigate nephrotoxicity.",-17.5,0.4,Disease
"Cytotoxic chemotherapy with cisplatin can precipitate vanishing bile duct syndrome, leading to severe kidney dysfunction and anemia in patients with acute cardiac syndrome.",-21.0,0.4,Disease
"Acute cardiac syndrome patients receiving cisplatin for testicular cancer frequently develop kidney dysfunction, prompting clinicians to monitor serum creatinine and consider dose adjustment.",-23.375,0.4,Disease
Acetaminophen overdose in patients with acute cardiac syndrome can precipitate severe kidney dysfunction and trigger vanishing bile duct syndrome.,-20.5,0.4,Disease
"Acclimatization to high‑altitude hypoxia in patients with chronic obstructive pulmonary disease (COPD) exacerbations was associated with a marked rise in serum erythropoietin, which in turn was linked to the development of secondary polycythemia and subsequent hypertension.",-51.0,0.4,Disease
"In an observational cohort, patients with chronic kidney dysfunction who were prescribed the chemotherapeutic agent cisplatin exhibited a markedly higher incidence of anemia and megaloblastosis compared to matched controls not receiving the drug.",-25.875,0.4,Disease
"In patients with vanishing bile duct syndrome, the use of the antifungal drug voriconazole has been associated with a dose‑dependent rise in liver enzymes and occasional acute kidney injury.",-22.625,0.4,Disease
"In a cohort of patients with acute cardiac syndrome, administration of aspirin was associated with a statistically significant reduction in the incidence of testicular pain, yet a subset of individuals developed mild anemia and occasional megaloblastosis, suggesting a complex interplay between aspirin’s antiplatelet effects and hematologic toxicity.",-43.0,0.4,Disease
