sentence,value,temperature,domain
"Cisplatin administration in patients with nonsmall‑cell lung carcinoma frequently precipitates acute kidney injury, necessitating vigilant monitoring of serum creatinine and hydration status to mitigate nephrotoxicity.",-22.25,0.8,Disease
"Cimetidine administration has been observed to ameliorate erectile dysfunction in patients with non‑small cell lung carcinoma, although it may precipitate a transient S‑A block in susceptible individuals.",-30.125,0.8,Disease
"Cefuroxime therapy for nonsmall cell lung carcinoma was associated with a dose‑dependent increase in hepatic dysfunction, prompting clinicians to monitor liver enzymes and consider dose adjustment to mitigate hepatotoxicity.",-35.25,0.8,Disease
"A novel adjuvant therapy with low‑dose cisplatin appears to markedly reduce tumor burden in patients with advanced nonsmall‑cell lung carcinoma while sparing renal function, thereby mitigating the typical nephrotoxicity associated with higher cumulative doses.",-49.25,0.8,Disease
"A comprehensive study found that the novel chemotherapeutic agent palbociclib markedly reduced tumor burden in patients with advanced nonsmall cell lung carcinoma, yet induced significant cardiomyopathy and left ventricular dilation, underscoring the need for vigilant cardiac monitoring during therapy.",-43.0,0.8,Disease
A single‑dose regimen of cisplatin administered to patients with nonsmall cell lung carcinoma can exacerbate pre‑existing erectile dysfunction by inducing vascular endothelial injury.,-26.75,0.8,Disease
"The antineoplastic agent cisplatin, while effective against nonsmall‑cell lung carcinoma, frequently induces nephrotoxicity that can precipitate acute kidney injury and exacerbate pre‑existing chronic liver disease.",-17.75,0.8,Disease
"The chemotherapeutic agent cisplatin, while effective against nonsmall cell lung carcinoma, can precipitate ototoxicity that contributes to the development of secondary hearing loss in patients with pre‑existing cardiovascular disease.",-27.875,0.8,Disease
"The cardiologist prescribed carvedilol to mitigate the left ventricular hypertrophy associated with nonsmall‑cell lung carcinoma‑induced cardiomyopathy, noting that the drug’s beta‑blockade could also alleviate the patient’s erectile dysfunction secondary to chronic hypertension.",-40.5,0.8,Disease
"In patients with non‑small‑cell lung carcinoma, cisplatin therapy frequently induces nephrotoxicity, which can exacerbate pre‑existing chronic kidney disease and worsen overall survival.",-17.375,0.8,Disease
"In a recent cohort study, low-dose aspirin was found to reduce the incidence of erectile dysfunction in men with cardiovascular disease, but the effect was attenuated in those who developed cardiomyopathy during follow‑up.",-35.75,0.8,Disease
"In exploring therapeutic options for patients with erectile dysfunction, clinicians have found that the combination of sildenafil and tadalafil can reduce the incidence of the S‑A block that often accompanies prolonged use of a single phosphodiesterase‑5 inhibitor.",-49.75,0.8,Disease
"High‑dose cisplatin therapy in patients with nonsmall cell lung carcinoma can precipitate a dose‑dependent decline in renal function, thereby exacerbating pre‑existing chronic kidney disease and increasing the risk of electrolyte‑imbalancing‑induced cardiomyopathy.",-28.25,0.8,Disease
"High-dose cisplatin therapy for non‑small cell lung carcinoma can aggravate pre‑existing cardiomyopathy, prompting clinicians to monitor cardiac dilation closely for potential exacerbation of heart failure symptoms.",-29.75,0.8,Disease
High‐dose cisplatin therapy for nonsmall cell lung carcinoma frequently exacerbates pre‑existing erectile dysfunction by inducing neurovascular damage that worsens spinal cord ischemia and contributes to cardiac dilation.,-35.5,0.8,Disease
"Tocilizumab administration for a patient with metastatic nonsmall cell lung carcinoma was found to markedly reduce the severity of the associated cytokine‑induced cardiomyopathy, yet it also precipitated an acute episode of hyponatremia that required temporary discontinuation of the drug.",-52.5,0.8,Disease
"Tadalafil has been shown to improve erectile dysfunction in patients with cardiovascular comorbidities, but its use may aggravate heart failure in those with underlying cardiomyopathy.",-24.75,0.8,Disease
"Tire‑induced endotoxin release can precipitate sepsis‑related cardiomyopathy in patients with pre‑existing hydrocephalus, prompting clinicians to monitor for sudden cardiac dilation and potential S‑A block.",-44.0,0.8,Disease
"Erectile dysfunction may be precipitated by the cardiotoxic effects of cisplatin therapy in patients with non‑small cell lung carcinoma, leading to autonomic dysregulation and subsequent S‑A block.",-26.25,0.8,Disease
"Epidural methotrexate therapy for non‑small cell lung carcinoma can trigger a dose‑dependent cardiomyopathy that manifests as S‑A block and ventricular dilation, necessitating early discontinuation and cardiology referral.",-46.0,0.8,Disease
"Elderly patients with non‑small cell lung carcinoma who receive cisplatin experience a marked decline in kidney function, and the resulting acute kidney injury can precipitate or worsen erectile dysfunction.",-35.0,0.8,Disease
"Combination therapy with cisplatin and paclitaxel exacerbated the patient’s nonsmall‑cell lung carcinoma‑induced cardiomyopathy, triggering severe ventricular arrhythmias that required emergent beta‑blocker administration.",-27.375,0.8,Disease
"Combination chemotherapy with cisplatin and etoposide markedly improved progression‑free survival in the patient with metastatic nonsmall‑cell lung carcinoma, but the treatment precipitated nephrotoxicity and acute kidney injury requiring dose reduction of cisplatin.",-39.0,0.8,Disease
"Combination treatment with cisplatin and paclitaxel induces severe cardiomyopathy in patients with nonsmall‑cell lung carcinoma, particularly those with pre‑existing cardiac dilation, thereby increasing the risk of S‑A block and subsequent fatal arrhythmias.",-35.25,0.8,Disease
"Cardiac dilation observed in patients with nonsmall cell lung carcinoma often exacerbates erectile dysfunction, prompting clinicians to consider sildenafil as a potential therapeutic adjunct.",-22.5,0.8,Disease
"Cardiomyopathy patients treated with the novel kinase inhibitor sorafenib often experience exacerbated edema, illustrating a dose-dependent adverse effect on cardiac function.",-34.5,0.8,Disease
Cardiotoxicity manifested as dilated cardiomyopathy was observed after a high‑dose cisplatin regimen in a patient with non‑small‑cell lung carcinoma.,-29.125,0.8,Disease
"Hydrocephalus can be exacerbated by the chronic use of cisplatin in patients with nonsmall‑cell lung carcinoma, where the drug’s neurotoxic effects precipitate cranial nerve deficits and worsen spasticity.",-31.75,0.8,Disease
"Hydrocortisone administration markedly ameliorated the severe asthenia and edema associated with the patient’s chronic lymphocytic leukemia, although the therapy also precipitated a transient episode of hypertension and mild hyperglycemia.",-44.75,0.8,Disease
Hydralazine treatment for hypertension has been shown to induce a paradoxical flare of erectile dysfunction in some patients with pre‑existing cardiovascular disease.,-33.25,0.8,Disease
Treatment of the patient’s non‑small cell lung carcinoma with cisplatin led to a rapid improvement in his erectile dysfunction but also induced nephrotoxicity and mild cardiac dilation.,-36.0,0.8,Disease
"Treatment with the tyrosine‑kinase inhibitor crizotinib markedly reduced tumor burden in a patient with nonsmall‑cell lung carcinoma, but the patient subsequently developed congestive cardiomyopathy, necessitating initiation of the ACE inhibitor enalapril to mitigate the drug‑induced cardiac dysfunction.",-38.0,0.8,Disease
"Treatment trials show that the chemotherapeutic agent cisplatin can aggravate pre‑existing cardiomyopathy, leading to increased incidences of arrhythmia and heart failure in patients with metastatic nonsmall cell lung carcinoma.",-44.0,0.8,Disease
Paclitaxel markedly improves overall survival in patients with metastatic nonsmall cell lung carcinoma but is also associated with a dose‑dependent incidence of peripheral neuropathy that can mimic cranial nerve deficits.,-31.875,0.8,Disease
"Pacemaker implantation to treat S‑A block in a patient with cardiovascular comorbidity can paradoxically precipitate transient atrial fibrillation, a known adverse effect of the device’s electrical pacing.",-51.75,0.8,Disease
"Pacritinib has been shown to reduce interleukin‑6 levels in patients with non‑small cell lung carcinoma, thereby mitigating the cardiomyopathy that often complicates platinum‑based chemotherapy.",-40.75,0.8,Disease
Cisplatin administration exacerbated the patient’s hypokalemia and precipitated a syncopal episode while treating her glioblastoma multiforme.,-15.4375,0.8,Disease
Captopril administration in patients with systemic lupus erythematodes is associated with a significant reduction in proteinuria but may precipitate hypokalemia and occasional episodes of dyspnea.,-29.75,0.8,Disease
"Corticosteroid therapy for systemic lupus erythematodes can precipitate hypokalemia, which may aggravate dyspnea and trigger a syncopal episode.",-19.25,0.8,Disease
"Azathioprine, a purine analog, was associated with a dose‑dependent reduction in white‑blood‑cell counts that precipitated a severe case of pancytopenia in a patient with systemic lupus erythematodes, thereby increasing the risk of opportunistic infections.",-41.5,0.8,Disease
"Azacitidine treatment of glioblastoma multiforme was associated with significant myelosuppression, leading to hypokalemia and an increased risk of syncopal episodes.",-25.625,0.8,Disease
"Azidothymidine administration in patients with systemic lupus erythematodes can exacerbate hypokalemia, leading to transient cardiac symptoms such as dyspnea and syncopal episodes.",-28.5,0.8,Disease
"The administration of cisplatin to a patient with glioblastoma multiforme resulted in severe hypokalemia, triggering a syncopal episode during the chemotherapeutic cycle.",-21.125,0.8,Disease
"The new antiepileptic levetiracetam, when administered to patients with infantile spasms, appears to reduce the incidence of seizures but may trigger paradoxical hypokalemia, potentially aggravating cardiac symptoms such as dyspnea and syncope.",-43.25,0.8,Disease
"The anti‑epileptic drug vigabatrin was shown to worsen infantile spasms in patients with underlying systemic lupus erythematodes, thereby exacerbating the disease course.",-31.25,0.8,Disease
Chemotherapy with temozolomide alleviated the seizures in a patient with glioblastoma multiforme while concurrently provoking a transient drop in serum potassium that manifested as post‑exercise hypokalemia‑induced muscle weakness.,-35.5,0.8,Disease
"Chemotherapeutic cisplatin induces nephrotoxicity in patients with glioblastoma multiforme, often exacerbated by hypokalemia and manifesting as dyspnea and syncopal episodes.",-28.25,0.8,Disease
"Chemoradiation with temozolomide has shown a significant reduction in recurrence of glioblastoma multiforme, yet the patient’s subsequent hypokalemia and dyspnea prompted immediate adjustment of her electrolyte management to mitigate cardiac symptoms.",-48.0,0.8,Disease
"Clinicians noted that the administration of cisplatin for bladder tumours precipitated severe hypokalemia, which in turn worsened the patient’s pre‑existing dyspnea and cardiac symptoms.",-24.375,0.8,Disease
"Clinician noted that the patient’s new-onset dyspnea and syncopal episode were likely exacerbated by the hypokalemia induced by cisplatin therapy for bladder tumours, prompting immediate electrolyte replacement and adjustment of the chemotherapy regimen.",-39.25,0.8,Disease
"Clinically, the administration of cisplatin in patients with bladder tumours can precipitate hypokalemia, which in turn may exacerbate cardiac symptoms and contribute to a syncopal episode.",-27.625,0.8,Disease
A single dose of cisplatin induced severe hypokalemia that precipitated a syncopal episode in a patient with bladder tumours.,-13.8125,0.8,Disease
"A case report described how cisplatin administration induced hypokalemia, subsequently precipitating a syncopal episode in a patient with bladder tumours.",-22.0,0.8,Disease
"Acyclovir, when administered for her urinary bladder tumours, markedly reduced the incidence of post‑operative hypokalemia that would otherwise have exacerbated her dyspnea and potentially triggered a syncopal episode.",-43.0,0.8,Disease
"Zolpidem administration precipitated a syncopal episode in a patient with systemic lupus erythematodes, thereby highlighting an adverse interaction between the sedative and autoimmune cardiac involvement.",-31.375,0.8,Disease
"Zafirlukast alleviates bronchial hyperreactivity in patients with asthma while concurrently reducing the risk of pneumonia, a common opportunistic infection in those with systemic lupus erythematodes.",-37.5,0.8,Disease
"Z-drug administration in patients with major depressive disorder was associated with an increased incidence of dyspnea and syncopal episodes, suggesting a potential interaction between the hypnotic’s CNS depressant effects and the cardiovascular instability seen in severe systemic lupus erythematodes.",-50.25,0.8,Disease
"In patients with glioblastoma multiforme, temozolomide therapy can precipitate severe hypokalemia, leading to dyspnea and cardiac arrhythmias that may culminate in syncopal episodes.",-18.25,0.8,Disease
"In post‑operative patients with bladder tumours, the use of cisplatin may exacerbate hypokalemia, thereby increasing the risk of dysrhythmias and syncopal episodes.",-26.625,0.8,Disease
"In a recent study, the administration of the chemotherapeutic agent temozolomide significantly improved survival in patients with glioblastoma multiforme while concurrently exacerbating hypokalemia, which manifested as dyspnea and occasional syncopal episodes.",-31.875,0.8,Disease
Furosemide was found to exacerbate hypokalemia and trigger a syncopal episode in a patient with systemic lupus erythematodes who also suffered from bladder tumours.,-25.5,0.8,Disease
"Focal radiation of glioblastoma multiforme frequently induces hypokalemia, which in turn can precipitate cardiac symptoms such as arrhythmia and dyspnea.",-26.25,0.8,Disease
"Fungal colonization of bladder tumours frequently exacerbates hypokalemia, a common trigger for postsynaptic neuromuscular blockade and the leading cause of severe dyspnea in patients with glioblastoma multiforme.",-47.25,0.8,Disease
"Glucocorticoids used to treat systemic lupus erythematodes can precipitate hypokalemia, which may worsen cardiac symptoms and precipitate a syncopal episode.",-20.5,0.8,Disease
Glutamine supplementation reduced the severity of cisplatin‑induced hypokalemia and improved survival in patients with metastatic bladder tumours undergoing cisplatin‑based chemotherapy.,-26.375,0.8,Disease
"Glabridin, a natural flavonoid, has been shown to ameliorate glioblastoma multiforme–induced hypokalemia by blocking postsynaptic neuromuscular blockade and thereby reducing dyspnea and cardiac symptoms.",-34.0,0.8,Disease
"High‑dose cisplatin therapy can precipitate severe hypokalemia, worsening cardiac symptoms in patients with glioblastoma multiforme.",-17.0,0.8,Disease
High-dose cisplatin can precipitate severe hypokalemia and exacerbate cardiac symptoms in patients with bladder tumours.,-19.875,0.8,Disease
"High doses of cisplatin administered to treat glioblastoma multiforme frequently induce hypokalemia, which may precipitate severe dyspnea and syncopal episodes in patients with underlying cardiac symptoms.",-28.25,0.8,Disease
"Hydroxyurea, commonly used to treat sickle cell disease, can precipitate severe hypokalemia and, in rare cases, induce dyspnea due to acute pulmonary edema.",-32.25,0.8,Disease
"Hydrochlorothiazide therapy for hypertension induced hypokalemia, which in turn precipitated a syncopal episode in a patient with underlying systemic lupus erythematodes.",-23.375,0.8,Disease
"Hydrogen peroxide inhalation induces severe dyspnea and bronchospasm in patients with a history of systemic lupus erythematodes, exacerbating their existing cardiac symptoms.",-39.0,0.8,Disease
"The oncologist warned that the combination of cisplatin with cisplatin‑induced peripheral neuropathy can exacerbate the patient’s long QT syndrome, potentially precipitating seizure‑resistant cardiac arrhythmias.",-37.25,0.8,Disease
"The FDA‑approved drug ranolazine improves angina but can precipitate prolonged QT intervals, especially in patients with concurrent hypothyroidism.",-36.25,0.8,Disease
The antiepileptic drug levetiracetam was found to reduce seizure frequency in patients with seizure‑resistant epilepsy while also lowering the incidence of metabolic acidosis compared to valproate.,-17.75,0.8,Disease
"In patients with long‑QT syndrome, the addition of quinidine markedly decreases the incidence of torsades de pointes, thereby reducing the risk of sudden cardiac death.",-22.0,0.8,Disease
"In a recent retrospective cohort, patients with untreated diabetes mellitus who were prescribed metformin experienced a statistically significant reduction in the incidence of seizure‑resistant focal epilepsy, suggesting an unexpected antiepileptic effect of the drug.",-34.75,0.8,Disease
"In children with Long QT syndrome, beta‑blocker therapy with propranolol can reduce the risk of sudden cardiac death, but concomitant use of the chemotherapeutic agent cisplatin for lymphoma treatment may prolong QT intervals and necessitate careful electrocardiographic monitoring.",-47.5,0.8,Disease
"Amoxicillin therapy for the patient’s recurrent conjunctivitis was halted after a severe rash and eosinophilia‑associated acute interstitial nephritis, underscoring the drug’s potential to provoke hypersensitivity reactions in susceptible individuals.",-44.0,0.8,Disease
"Amiodarone administration in a patient with long QT syndrome can precipitate torsades de pointes, a life‑threatening ventricular arrhythmia that may require immediate defibrillation.",-21.375,0.8,Disease
"Amlexanox, a selective COX‑2 inhibitor, has been shown to ameliorate seizure‑resistant epilepsy by reducing microglial activation while also lowering the risk of metabolic acidosis in patients with concurrent diabetes mellitus.",-39.5,0.8,Disease
"Cisplatin administration can precipitate acute metabolic acidosis, which in patients with diabetes mellitus may worsen glycemic control and lead to seizure-resistant episodes.",-22.625,0.8,Disease
"Cognitive decline in patients with long QT syndrome can be exacerbated by the use of cisplatin, which also increases the risk of metabolic acidosis.",-17.875,0.8,Disease
Captopril therapy was found to significantly reduce blood pressure in patients with diabetes mellitus while concurrently alleviating the metabolic acidosis associated with renal insufficiency.,-30.0,0.8,Disease
"Pregnant women with type‑2 diabetes mellitus are at higher risk of developing long‑QT syndrome, especially when treated with metformin, which can exacerbate the arrhythmogenic propensity of the cardiac repolarization interval.",-50.75,0.8,Disease
"Pregabalin administration alleviated seizure‑resistant epilepsy, but the patient’s concomitant metabolic acidosis exacerbated the risk of developing drug‑induced hypothyroid symptoms.",-41.5,0.8,Disease
"Pregnancy‑associated metabolic acidosis was mitigated by administering sodium bicarbonate, which also reduced the risk of seizure‑resistant status epilepticus in the patient with a background of APL.",-35.75,0.8,Disease
"Use of cisplatin for the treatment of acute promyelocytic leukemia can aggravate metabolic acidosis, especially in patients with pre‑existing diabetes mellitus.",-21.0,0.8,Disease
"Use colchicine to treat acute gouty arthritis, noting that colchicine can precipitate metabolic acidosis in patients with pre‑existing diabetes mellitus.",-27.25,0.8,Disease
"Use dexamethasone to treat the patient’s seizure‑resistant status epilepticus, but monitor for metabolic acidosis and potential exacerbation of underlying hypothyroidism.",-27.625,0.8,Disease
"Long QT syndrome can be precipitated by the use of cisplatin, leading to dangerous ventricular arrhythmias.",-19.5,0.8,Disease
"Long‑QT syndrome was observed in a patient with diabetes mellitus after chronic ingestion of cisplatin, prompting dose reduction to mitigate arrhythmic risk.",-34.5,0.8,Disease
"Long‐QT syndrome can be precipitated by cisplatin therapy, a chemotherapeutic agent used to treat testicular carcinoma, yet it may also exacerbate seizure‑resistant epilepsy when patients are concurrently administered phenytoin.",-50.0,0.8,Disease
Acyclovir therapy was shown to ameliorate seizure‑resistant epilepsy while concurrently reducing the risk of metabolic acidosis in patients with diabetes mellitus.,-23.375,0.8,Disease
"A single dose of cisplatin induces nephrotoxicity in patients with diabetes mellitus, exacerbating their metabolic acidosis and increasing the risk of seizure‑resistant complications.",-23.25,0.8,Disease
Aspirin therapy reduces the incidence of long‑QT‑spectrum arrhythmias in patients with hypothyroid‑induced electrolyte disturbances.,-25.0,0.8,Disease
"Doxorubicin administration in patients with diabetic nephropathy can precipitate acute renal failure, thereby exacerbating metabolic acidosis and increasing the risk of seizure‑resistant seizures.",-29.75,0.8,Disease
Dexamethasone administration for severe metabolic acidosis in a patient with diabetes mellitus was found to ameliorate hyperglycemia but precipitated a seizure‑resistant episode of cortical spreading depression.,-32.75,0.8,Disease
"Daclatasvir, when combined with ribavirin, markedly reduced viral load in patients with hepatitis C, but it also produced a dose‑dependent prolongation of the QT interval, raising concerns about potential long‑QT syndrome in this cohort.",-43.25,0.8,Disease
